Station Name,Agency Name,State Name,District,Basin Name,Sub Basin Name,Date Collection,Longitude,Latitude,k,cl,ca,hco3,mg,f,ph_gen,Level (m),,Potash,ph,Crop
Madamakki,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,75.01944444,13.51527778,NaN,NaN,NaN,0.01,0,160,NaN,NaN,,25,5.625096446,kidneybeans
Madangeri,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.36666667,14.575,32,166,37,0.25,0,334,NaN,NaN,,19,5.515615023,kidneybeans
Madanhipperga1,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.38333333,17.46666667,NaN,NaN,NaN,2.1,0,550,NaN,NaN,,22,5.954665349,kidneybeans
Madanur,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.85222222,15.03333333,26,73,13,0.32,0,220,NaN,NaN,,17,5.74644777,kidneybeans
Madarki,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.76666667,16.78333333,NaN,NaN,NaN,0.55,0,700,NaN,NaN,,20,5.877347515,kidneybeans
Maddur,CGWB,Karnataka,Chamarajanagar,Cauvery Basin,Cauvery Middle,2018,77.06666667,12.07777778,22,518.5,63,0.195531,0,1831,NaN,NaN,,17,5.979973965,kidneybeans
Magdi,CGWB,Karnataka,Gadag,Krishna Basin,Tungabhadra Upper,2018,75.51666667,15.20833333,32,664.9,52,0.712121,0,1359,NaN,NaN,,22,5.635993966,kidneybeans
Mahadeshwarabetta,CGWB,Karnataka,Chamarajanagar,Cauvery Basin,Cauvery Middle,2018,77.5875,12.03055556,NaN,NaN,NaN,0.48,0,1620,NaN,NaN,,22,5.635231778,kidneybeans
Mahadevapura1,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.76666667,12.4,138,164.7,106,0.355263,0,2030,NaN,NaN,,21,5.679224346,kidneybeans
Mahampur,CGWB,Karnataka,Raichur,Krishna Basin,Tungabhadra Lower,2018,76.45833333,15.83888889,60,225.7,124,1.1,0,1400,NaN,NaN,,23,5.670062975,kidneybeans
Maikome,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.83194444,13.495,NaN,NaN,NaN,0.013,0,190,NaN,NaN,,18,5.724242065,kidneybeans
Mainalli,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.89166667,14.80833333,28,67.122,16,0.33,0,247,NaN,NaN,,20,5.811314232,kidneybeans
Majali,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.15,14.9,20,88,17,0.31,0,186,NaN,NaN,,17,5.783425416,kidneybeans
Makanur,CGWB,Karnataka,Haveri,Krishna Basin,Tungabhadra Upper,2018,75.74722222,14.51638889,NaN,NaN,NaN,1.2,0,1650,NaN,NaN,,23,5.607808432,kidneybeans
Malgi,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,75.01666667,14.77083333,40,152.55,14,0.52,0,372,NaN,NaN,,22,5.946999529,kidneybeans
Mallabad,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.41666667,17.23333333,NaN,NaN,NaN,2,0,6000,NaN,NaN,,19,5.852046999,kidneybeans
Mallanayakanahalli,CGWB,Karnataka,Haveri,Krishna Basin,Tungabhadra Upper,2018,75.62555556,14.50222222,NaN,NaN,NaN,2.1,0,1390,NaN,NaN,,22,5.824090984,kidneybeans
Mallenahalli,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,76.51583333,12.89444444,NaN,NaN,NaN,1.3,0,170,NaN,NaN,,20,5.502999119,kidneybeans
Malpe,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.7,13.35,NaN,NaN,NaN,1.1,0,480,NaN,NaN,,23,5.821649914,kidneybeans
Managanal,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,77.03722222,16.71694444,NaN,NaN,NaN,1.2,0,800,NaN,NaN,,17,5.711439256,kidneybeans
Manapura,CGWB,Karnataka,Koppal,Krishna Basin,Tungabhadra Upper,2018,75.95055556,15.43111111,NaN,NaN,NaN,1.6,0,4600,NaN,NaN,,15,5.514927264,kidneybeans
Mandewala,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.54166667,17.00083333,NaN,NaN,NaN,5.2,0,1340,NaN,NaN,,23,5.99616119,kidneybeans
Mandlikoppa,CGWB,Karnataka,Uttara Kannada,Krishna Basin,Tungabhadra Upper,2018,74.8875,14.40694444,36,144,8,0.32,0,347,NaN,NaN,,18,5.695422863,kidneybeans
Mandya Koppalu,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.8,12.39166667,88,152.5,29,0.230263,0,933,NaN,NaN,,22,5.833010958,kidneybeans
Manki1,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.49166667,14.1,16,144,28,0.45,0,160,NaN,NaN,,24,5.568456899,kidneybeans
Maravanahalli,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Upper,2018,76.54694444,12.67861111,30,250.1,15,0.717105,0,528,NaN,NaN,,15,5.645435626,kidneybeans
Maravanthe,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.64444444,13.725,NaN,NaN,NaN,0.018,0,170,NaN,NaN,,21,5.821194486,kidneybeans
Margutti,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,77.06666667,17.61666667,NaN,NaN,NaN,0.85,0,1400,NaN,NaN,,23,5.659254981,kidneybeans
Mashal,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.24166667,17.29166667,NaN,NaN,NaN,1.2,0,1410,NaN,NaN,,19,5.945465949,kidneybeans
Maski A,CGWB,Karnataka,Raichur,Krishna Basin,Krishna Middle,2018,77.27083333,16.27083333,132,317.2,224,0.27,0,2500,NaN,NaN,,20,5.951177452,kidneybeans
Matala,CGWB,Karnataka,Bidar,Krishna Basin,Bhima Lower,2018,76.86666667,17.83333333,26,158,94,0.36478,0,670,NaN,NaN,,24,5.520880014,kidneybeans
Mavinagundi,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.78333333,14.25277778,24,93,16,0.2,0,158,NaN,NaN,,23,5.578410206,kidneybeans
Mekari,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.75416667,12.5125,0,0,0,0.084,0,1140,NaN,NaN,,25,5.608165195,kidneybeans
Melukote1,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.64722222,12.65555556,102,402.6,128,1.75,0,1898,NaN,NaN,,19,5.609435128,kidneybeans
Mirjan,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.425,14.49305556,18,78,27,0.24,0,172,NaN,NaN,,17,5.509295379,kidneybeans
Moghe,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,77.23333333,17.48333333,NaN,NaN,NaN,0.24,0,1290,NaN,NaN,,25,5.902033406,kidneybeans
Moodkani,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.55833333,14.24583333,18,176.958,38,0.3,0,156,NaN,NaN,,18,5.744117663,kidneybeans
Morab,CGWB,Karnataka,Dharwad,Krishna Basin,Krishna Upper,2018,75.15,15.59166667,152,189.1,815,0.874317,0,5790,NaN,NaN,,17,5.717143397,kidneybeans
Motamakalahalli,CGWB,Karnataka,Kolar,Pennar Basin,Pennar Upper,2018,78.075,13.6,46,475.8,120,2.08276,0,1223,NaN,NaN,,20,5.542690119,kidneybeans
Mothakpalli,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,77.38527778,16.95361111,NaN,NaN,NaN,0.29,0,1320,NaN,NaN,,24,5.858617867,kidneybeans
Mudalahippe,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,76.21388889,12.81388889,NaN,NaN,NaN,0.5,0,1840,NaN,NaN,,22,5.618844277,kidneybeans
Mudbal,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.79333333,16.8,NaN,NaN,NaN,1.3,0,970,NaN,NaN,,24,5.606620346,kidneybeans
Mudbi1,CGWB,Karnataka,Bidar,Krishna Basin,Bhima Lower,2018,76.925,17.73333333,58,207,98,1.26415,0,1078,NaN,NaN,,15,5.582178402,kidneybeans
Mudhol A,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2018,75.27611111,16.33944444,NaN,NaN,NaN,1.18,0,4100,NaN,NaN,,24,5.56503533,kidneybeans
Mudlu Koppalu,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.73222222,12.83472222,38,176.9,16,0.947368,0,509,NaN,NaN,,17,5.889614577,kidneybeans
Mugad,CGWB,Karnataka,Dharwad,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.9,15.44166667,96,85.4,85,0.409836,0,1491,NaN,NaN,,15,5.934136378,kidneybeans
Mulbagal Dw,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2018,78.38944444,13.16111111,74,902.8,116,0.482759,0,3670,NaN,NaN,,16,5.683548308,kidneybeans
Mundargi,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,77.21666667,16.76666667,64,152.5,268,1.12121,0,2140,NaN,NaN,,15,5.70836603,kidneybeans
Mundgod,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,75.075,14.98333333,32,85,21,0.4,0,286,NaN,NaN,,25,5.948164454,kidneybeans
Murudeswar,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.49166667,14.09166667,30,103,41,0.28,0,260,NaN,NaN,,25,5.774755144,kidneybeans
Nagaidalai,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,77.41111111,17.54777778,NaN,NaN,NaN,2,0,930,NaN,NaN,,15,5.97229163,kidneybeans
Nagamangala2,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.75833333,12.825,60,500.2,108,0.782123,0,1454,NaN,NaN,,21,5.532100554,kidneybeans
Nagur,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2018,76.00833333,16.00833333,NaN,NaN,NaN,2.07,0,1390,NaN,NaN,,20,5.669560726,kidneybeans
Nagur,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2018,77.48583333,18.15611111,38,146,7,1.407,0,715,NaN,NaN,,19,5.655726817,kidneybeans
Naikal,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,77.05,16.73333333,NaN,NaN,NaN,1,0,1030,NaN,NaN,,21,5.591704014,kidneybeans
Nandanavana,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.63444444,13.81972222,NaN,NaN,NaN,0.014,0,140,NaN,NaN,,22,5.932323085,kidneybeans
Nandvadgi,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2018,76.3,16.025,NaN,NaN,NaN,2.04,0,9900,NaN,NaN,,18,5.824208309,kidneybeans
Napoklu,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.69166667,12.30416667,NaN,NaN,NaN,0.041,0,820,NaN,NaN,,20,5.86442953,kidneybeans
Nargund1,CGWB,Karnataka,Gadag,Krishna Basin,Krishna Upper,2018,75.38333333,15.72916667,72,305,380,0.333333,0,3590,NaN,NaN,,16,5.866744372,kidneybeans
Narnal,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,77.26055556,17.50638889,0,0,0,0.56,0,750,NaN,NaN,,15,5.706198621,kidneybeans
Navile,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Middle,2018,76.475,13.09444444,NaN,NaN,NaN,0.28,0,1130,NaN,NaN,,22,5.940546818,kidneybeans
Naymanahalli,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,76.1625,12.85888889,NaN,NaN,NaN,0.55,0,2200,NaN,NaN,,22,5.916779289,kidneybeans
Neerkolli,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.76,12.40583333,NaN,NaN,NaN,0.041,0,1110,NaN,NaN,,15,5.779090476,kidneybeans
Nelaje,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.63444444,12.29777778,NaN,NaN,NaN,0.16,0,810,NaN,NaN,,23,5.82738029,kidneybeans
Nelligere,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.8,12.95,40,213.5,110,1.59777,0,741,NaN,NaN,,19,5.514234138,kidneybeans
Neralakatte,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.79027778,13.66305556,NaN,NaN,NaN,0.028,0,140,NaN,NaN,,17,5.662699104,kidneybeans
Nilhalli,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,77.23333333,17.21666667,NaN,NaN,NaN,0.071,0,5010,NaN,NaN,,19,5.86390397,kidneybeans
Nimbala,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,77.39166667,17.35,NaN,NaN,NaN,1.7,0,660,NaN,NaN,,22,5.624690248,kidneybeans
Nimbarga,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.57916667,17.38333333,NaN,NaN,NaN,0.24,0,1180,NaN,NaN,,20,5.591560999,kidneybeans
Nirna,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2018,77.31666667,17.7,28,126,38,0.119497,0,569,NaN,NaN,,22,5.976312538,kidneybeans
Nitiginal Koppa,CGWB,Karnataka,Haveri,Krishna Basin,Tungabhadra Upper,2018,75.16111111,14.72861111,NaN,NaN,NaN,0.48,0,620,NaN,NaN,,20,5.669236258,kidneybeans
Nuggehalli,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,76.47583333,13.01138889,NaN,NaN,NaN,0.36,0,2100,NaN,NaN,,23,5.961934481,kidneybeans
Nujje,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.34777778,15.05638889,16,105,6.3,0.33,0,145,NaN,NaN,,15,5.690065688,kidneybeans
Parkala,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.80722222,13.355,NaN,NaN,NaN,0.017,0,530,NaN,NaN,,18,5.698371311,kidneybeans
Parsanahalli,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,76.05694444,12.92805556,NaN,NaN,NaN,0.37,0,1580,NaN,NaN,,18,5.59503163,kidneybeans
Pathan,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.725,17.425,NaN,NaN,NaN,1.4,0,1270,NaN,NaN,,16,5.525904526,kidneybeans
Pattadakal,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2018,75.8,15.95,NaN,NaN,NaN,2.04,0,1890,NaN,NaN,,25,5.819403771,kidneybeans
Perduru,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.90388889,13.38194444,NaN,NaN,NaN,0.02,0,590,NaN,NaN,,19,5.562201934,kidneybeans
Pethri,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.82027778,13.41916667,NaN,NaN,NaN,0.13,0,210,NaN,NaN,,24,5.630664753,kidneybeans
Ponnampet A,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.92916667,12.17083333,NaN,NaN,NaN,0.11,0,850,NaN,NaN,,24,6.03160778,pigeonpeas
Prabhunagar,CGWB,Karnataka,Dharwad,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.86666667,15.45388889,28,237.9,22,0.355191,0,449,NaN,NaN,,23,5.269084669,pigeonpeas
Pura,CGWB,Karnataka,Kolar,Pennar Basin,Pennar Upper,2018,77.60555556,13.53888889,28,536.8,124,2.04138,0,1692,NaN,NaN,,23,5.985792703,pigeonpeas
Rabakavi,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2018,75.10833333,16.475,NaN,NaN,NaN,0.78,0,1520,NaN,NaN,,24,6.09186275,pigeonpeas
Ragi Hosalli,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.60138889,14.52361111,36,96,20,0.32,0,320,NaN,NaN,,18,5.624731338,pigeonpeas
Rajalabanda,CGWB,Karnataka,Raichur,Krishna Basin,Tungabhadra Lower,2018,77.175,15.95833333,108,213.5,420,1.1,0,2200,NaN,NaN,,25,6.446091759,pigeonpeas
Rajeshwar,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2018,77.05,17.80833333,30,164,64,0.327044,0,648,NaN,NaN,,20,5.623490043,pigeonpeas
Rajora,CGWB,Karnataka,Koppal,Krishna Basin,Tungabhadra Upper,2018,75.925,15.54166667,NaN,NaN,NaN,0.94,0,1170,NaN,NaN,,19,5.864623352,pigeonpeas
Ramanathapura,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,76.08805556,12.61055556,NaN,NaN,NaN,0.31,0,1150,NaN,NaN,,20,5.761702519,pigeonpeas
Rameshwaranagar,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,76.16666667,13.03333333,NaN,NaN,NaN,0.18,0,1250,NaN,NaN,,21,4.696518678,pigeonpeas
Ramgiri,CGWB,Karnataka,Chitradurga,Krishna Basin,Tungabhadra Upper,2018,76.12361111,13.95277778,52,195.2,22,0.726257,0,464,NaN,NaN,,24,5.269504214,pigeonpeas
Ranibennur A,CGWB,Karnataka,Haveri,Krishna Basin,Tungabhadra Upper,2018,75.56666667,14.56666667,NaN,NaN,NaN,1.7,0,1470,NaN,NaN,,17,7.445444883,pigeonpeas
Rattihalli,CGWB,Karnataka,Haveri,Krishna Basin,Tungabhadra Upper,2018,75.5125,14.33333333,NaN,NaN,NaN,0.52,0,1570,NaN,NaN,,17,5.833031708,pigeonpeas
Ravur,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,77.00833333,17.075,NaN,NaN,NaN,1.5,0,1000,NaN,NaN,,20,7.339320929,pigeonpeas
Revannur,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.725,16.99166667,NaN,NaN,NaN,1.6,0,1100,NaN,NaN,,17,6.347929353,pigeonpeas
R.Nulenur,CGWB,Karnataka,Chitradurga,Krishna Basin,Tungabhadra Upper,2018,76.125,14.025,20,298.9,160,0.469274,0,2200,NaN,NaN,,19,4.697750704,pigeonpeas
Sabrikatta,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.77555556,13.51222222,NaN,NaN,NaN,0.05,0,330,NaN,NaN,,16,4.962661422,pigeonpeas
Sadashivgad,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.12972222,14.85416667,28,61.02,46,0.47,0,269,NaN,NaN,,16,4.964887857,pigeonpeas
Saidur,CGWB,Karnataka,Dharwad,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.90555556,15.10388889,20,201.3,14,0.20765,0,507,NaN,NaN,,24,5.642813116,pigeonpeas
Saigaon,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2018,77.09333333,18.08527778,38,208,50,0.943396,0,761,NaN,NaN,,20,5.6093956,pigeonpeas
Salgar,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.78333333,17.63333333,NaN,NaN,NaN,0.26,0,1570,NaN,NaN,,19,4.681576043,pigeonpeas
Saligrama,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.70888889,13.50055556,NaN,NaN,NaN,0.02,0,630,NaN,NaN,,25,5.70951224,pigeonpeas
Sampagod,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.87638889,14.43888889,42,152,38,0.19,0,496,NaN,NaN,,19,6.413543781,pigeonpeas
Sangasandra,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2018,78.41111111,13.22361111,108,494.1,126,1.11034,0,1653,NaN,NaN,,21,6.007508163,pigeonpeas
Santhekatte,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.73472222,13.38527778,NaN,NaN,NaN,0.067,0,370,NaN,NaN,,24,4.946369874,pigeonpeas
Saradgi,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.95833333,17.29166667,NaN,NaN,NaN,0.88,0,1520,NaN,NaN,,21,5.517208078,pigeonpeas
Sasargaon,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,77.21666667,17.49583333,NaN,NaN,NaN,0.44,0,850,NaN,NaN,,21,5.902103172,pigeonpeas
Sasthana,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.74444444,13.47722222,NaN,NaN,NaN,0.013,0,450,NaN,NaN,,21,5.719889876,pigeonpeas
Savalgi2,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2018,75.33333333,16.69166667,NaN,NaN,NaN,0.71,0,2900,NaN,NaN,,17,4.548202098,pigeonpeas
Shadukupee,CGWB,Karnataka,Haveri,Krishna Basin,Tungabhadra Upper,2018,75.18944444,14.675,NaN,NaN,NaN,0.79,0,410,NaN,NaN,,19,6.669529416,pigeonpeas
Shaktinagar,CGWB,Karnataka,Raichur,Krishna Basin,Krishna Middle,2018,77.27083333,16.27083333,52,140.3,147,0.86,0,1020,NaN,NaN,,19,4.750929218,pigeonpeas
Shanawad,CGWB,Karnataka,Dharwad,Krishna Basin,Krishna Upper,2018,75.3125,15.55972222,18,384.3,37,0.459016,0,1380,NaN,NaN,,21,4.946263888,pigeonpeas
Shanivarasante,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.89583333,12.725,NaN,NaN,NaN,0.14,0,950,NaN,NaN,,18,5.266227032,pigeonpeas
Shanthigrama,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,76.225,12.98888889,NaN,NaN,NaN,0.46,0,1510,NaN,NaN,,23,7.10959773,pigeonpeas
Shantpur,CGWB,Karnataka,Kalaburagi,Krishna Basin,Krishna Upper,2018,76.71666667,16.40833333,NaN,NaN,NaN,1.9,0,1040,NaN,NaN,,21,5.617008201,pigeonpeas
Shiggaon1,CGWB,Karnataka,Haveri,Krishna Basin,Tungabhadra Upper,2018,75.13333333,14.66666667,NaN,NaN,NaN,0.47,0,390,NaN,NaN,,18,5.632353113,pigeonpeas
Shirali,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.52972222,14.02777778,22,169,33,0.36,0,223,NaN,NaN,,22,4.674941549,pigeonpeas
Shirhatti1,CGWB,Karnataka,Gadag,Krishna Basin,Tungabhadra Upper,2018,75.575,15.22916667,24,237.9,92,0.742424,0,1524,NaN,NaN,,16,7.161797643,pigeonpeas
Shivanasamudra,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,77.09972222,12.25,84,201.3,40,0.608939,0,760,NaN,NaN,,19,6.624966131,pigeonpeas
Shivapura,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,77.05305556,12.53138889,66,292.8,46,0.402235,0,682,NaN,NaN,,15,5.004074624,pigeonpeas
Shivaralli,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.90027778,12.75777778,NaN,NaN,NaN,0.34,0,850,NaN,NaN,,15,6.345806011,pigeonpeas
Shivpur Tanda,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.63027778,16.80222222,NaN,NaN,NaN,1,0,1080,NaN,NaN,,18,6.216814453,pigeonpeas
Shorapur,CGWB,Karnataka,Kalaburagi,Krishna Basin,Krishna Upper,2018,76.78333333,16.53138889,NaN,NaN,NaN,0.51,0,1030,NaN,NaN,,18,5.921666758,pigeonpeas
Siddapur1,CGWB,Karnataka,Koppal,Krishna Basin,Tungabhadra Lower,2018,76.63333333,15.52916667,NaN,NaN,NaN,0.65,0,4200,NaN,NaN,,17,6.012719118,pigeonpeas
SiddapuraA,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.85,12.25,NaN,NaN,NaN,0.16,0,880,NaN,NaN,,19,4.684079249,pigeonpeas
Sirsi1,CGWB,Karnataka,Uttara Kannada,Krishna Basin,Tungabhadra Upper,2018,74.87361111,14.625,42,131,57,0.38,0,429,NaN,NaN,,25,7.077170002,pigeonpeas
Soldapka,CGWB,Karnataka,Bidar,Krishna Basin,Bhima Lower,2018,76.93277778,17.78694444,50,271,80,0.81761,0,1215,NaN,NaN,,20,6.208843215,pigeonpeas
Somvarpet1,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.83333333,12.6,NaN,NaN,NaN,0.079,0,1160,NaN,NaN,,22,7.05181629,pigeonpeas
Sona,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.63333333,16.99166667,NaN,NaN,NaN,0.46,0,2500,NaN,NaN,,23,4.722222454,pigeonpeas
Sreenivasa Agrahara,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.71083333,12.42861111,60,231.8,14,0.144737,0,488,NaN,NaN,,25,6.418062652,pigeonpeas
Srinivasapura,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,76.35416667,12.84722222,NaN,NaN,NaN,0.5,0,1750,NaN,NaN,,23,4.803564468,pigeonpeas
Srirangapatna,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.68472222,12.42083333,70,183,46,0.269737,0,1023,NaN,NaN,,20,4.608695247,pigeonpeas
Sulla,CGWB,Karnataka,Dharwad,Krishna Basin,Krishna Upper,2018,75.17722222,15.45138889,54,140.3,68,0.415301,0,1133,NaN,NaN,,18,5.611510977,pigeonpeas
Sunakalbidari,CGWB,Karnataka,Haveri,Krishna Basin,Tungabhadra Upper,2018,75.60833333,14.41666667,NaN,NaN,NaN,1.5,0,1280,NaN,NaN,,18,7.322097972,pigeonpeas
Sundahalli,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Upper,2018,76.40333333,12.8275,46,384.3,25,0.559211,0,832,NaN,NaN,,24,5.023115055,pigeonpeas
Sunkatti,CGWB,Karnataka,Uttara Kannada,Krishna Basin,Tungabhadra Upper,2018,74.84638889,14.30333333,28,203,18,0.32,0,320,NaN,NaN,,17,5.617122801,pigeonpeas
Suntikoppa,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.82361111,12.44861111,NaN,NaN,NaN,0.14,0,1110,NaN,NaN,,20,5.391560418,pigeonpeas
